tracking_id,class,source,first_seen,last_seen,time,status
12049,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,609,609,2026-04-06 01:55:12,active
15448,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,623,623,2026-04-06 01:55:15,active
16913,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,630,630,2026-04-06 01:55:16,active
84734,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84753,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84769,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84786,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84802,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84817,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84832,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84846,truck,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84861,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84880,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84895,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84911,truck,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84926,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84940,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84958,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84975,truck,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
84989,bus,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:44,active
85012,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:45,active
85027,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:45,active
85044,lpr,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:45,active
85063,lpr,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:45,active
85080,person,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:45,active
85094,truck,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:59:45,active
87256,car,License_Plate_Detection_Test_1080p.mp4,21,21,2026-04-06 01:59:47,active
87274,truck,License_Plate_Detection_Test_1080p.mp4,21,21,2026-04-06 01:59:47,active
89050,lpr,License_Plate_Detection_Test_1080p.mp4,35,35,2026-04-06 01:59:49,active
90844,truck,License_Plate_Detection_Test_1080p.mp4,49,49,2026-04-06 01:41:30,active
90872,car,License_Plate_Detection_Test_1080p.mp4,49,49,2026-04-06 01:59:50,active
92800,car,License_Plate_Detection_Test_1080p.mp4,63,63,2026-04-06 01:59:52,active
92819,car,License_Plate_Detection_Test_1080p.mp4,63,63,2026-04-06 01:59:52,active
93675,bus,License_Plate_Detection_Test_1080p.mp4,70,70,2026-04-06 01:59:53,active
94620,car,License_Plate_Detection_Test_1080p.mp4,77,77,2026-04-06 01:59:54,active
99008,car,License_Plate_Detection_Test_1080p.mp4,112,112,2026-04-06 01:59:59,active
99925,lpr,License_Plate_Detection_Test_1080p.mp4,119,119,2026-04-06 01:59:59,active
2752,car,License_Plate_Detection_Test_1080p.mp4,140,140,2026-04-06 02:00:02,active
4941,car,License_Plate_Detection_Test_1080p.mp4,154,154,2026-04-06 02:00:04,active
7060,bus,License_Plate_Detection_Test_1080p.mp4,168,168,2026-04-06 02:00:07,active
9807,car,License_Plate_Detection_Test_1080p.mp4,189,189,2026-04-06 02:00:09,active
14914,car,License_Plate_Detection_Test_1080p.mp4,231,231,2026-04-06 02:00:14,active
14934,car,License_Plate_Detection_Test_1080p.mp4,231,231,2026-04-06 02:00:14,active
16696,truck,License_Plate_Detection_Test_1080p.mp4,245,245,2026-04-06 02:00:16,active
20821,car,License_Plate_Detection_Test_1080p.mp4,280,280,2026-04-06 02:00:20,active
25601,car,License_Plate_Detection_Test_1080p.mp4,315,315,2026-04-06 02:00:25,active
26502,person,License_Plate_Detection_Test_1080p.mp4,322,322,2026-04-06 02:00:26,active
26518,car,License_Plate_Detection_Test_1080p.mp4,322,322,2026-04-06 02:00:26,active
27730,truck,License_Plate_Detection_Test_1080p.mp4,329,329,2026-04-06 02:00:27,active
27756,car,License_Plate_Detection_Test_1080p.mp4,329,329,2026-04-06 02:00:27,active
27774,car,License_Plate_Detection_Test_1080p.mp4,329,329,2026-04-06 02:00:27,active
27798,person,License_Plate_Detection_Test_1080p.mp4,329,329,2026-04-06 02:00:27,active
36123,car,License_Plate_Detection_Test_1080p.mp4,385,385,2026-04-06 02:00:36,active
36146,person,License_Plate_Detection_Test_1080p.mp4,385,385,2026-04-06 02:00:36,active
39008,car,License_Plate_Detection_Test_1080p.mp4,406,406,2026-04-06 02:00:39,active
42824,car,License_Plate_Detection_Test_1080p.mp4,434,434,2026-04-06 02:00:42,active
44690,car,License_Plate_Detection_Test_1080p.mp4,448,448,2026-04-06 02:00:44,active
44711,car,License_Plate_Detection_Test_1080p.mp4,448,448,2026-04-06 02:00:44,active
44725,car,License_Plate_Detection_Test_1080p.mp4,448,448,2026-04-06 02:00:44,active
47075,car,License_Plate_Detection_Test_1080p.mp4,462,462,2026-04-06 02:00:47,active
47099,car,License_Plate_Detection_Test_1080p.mp4,462,462,2026-04-06 02:00:47,active
48053,lpr,License_Plate_Detection_Test_1080p.mp4,469,469,2026-04-06 02:00:48,active
49125,car,License_Plate_Detection_Test_1080p.mp4,476,476,2026-04-06 02:00:49,active
51855,car,License_Plate_Detection_Test_1080p.mp4,497,497,2026-04-06 02:00:51,active
56481,person,License_Plate_Detection_Test_1080p.mp4,532,532,2026-04-06 02:00:56,active
58295,car,License_Plate_Detection_Test_1080p.mp4,546,546,2026-04-06 02:00:58,active
